Rank,State,Index,Grocery,Housing,Utilities,Transportation,Health,Misc
1,West Virginia ,84.8,98.4,61.3,96.4,93.1,96.8,91.2
2,Kansas ,86.7,94.6,70.7,100.8,92.2,92.6,90.3
3,Mississippi ,87.5,96.8,72.2,89.4,90.1,95.6,93.8
4,Oklahoma ,87.9,96.5,74.7,96.5,90.6,99.3,90.5
5,Alabama ,88.8,97.8,71.4,100.5,90.3,90.1,95.8
6,Missouri ,89,97,78.6,98,88.3,91.6,91.7
7,Arkansas ,89,95.5,75.2,90.4,91.5,85.8,97.1
8,Tennessee ,90,97.1,82.8,86,88.1,87.6,94.8
9,Iowa ,90.4,96.5,75.4,92.9,98.2,96.7,96.3
10,Indiana ,91.3,97,77.3,92.1,101.6,97.7,96.1
11,Georgia ,91.5,97.4,79.2,100.4,95.7,97.9,94.8
12,North Dakota ,92.1,96.1,79.8,81.2,100.2,105.7,99.2
13,Michigan ,92.3,98.7,78.5,98.6,100.6,90.6,97.2
14,South Dakota ,92.3,98.4,89.7,85.5,96,101.2,91.3
15,Texas ,92.6,95.9,81.3,107.3,92.4,94.9,96.5
16,Nebraska ,92.8,99.3,79.5,87.1,97.4,101.4,99.8
17,Kentucky ,92.9,99.5,77.8,85.7,100,101.4,101
18,New Mexico ,92.9,97.4,84.9,82.9,89.8,105.1,99.5
19,Louisiana ,93.5,96.6,84.4,81.1,97.4,95.2,101.5
20,Montana ,94,98.7,84.6,83,101.8,96.6,99.8
21,Ohio ,94.9,98.5,87.6,95.6,96.9,97.1,98.2
22,Pennsylvania ,94.9,99.1,83.5,104.4,103.9,91.7,97.7
23,South Carolina ,95.2,99.6,86.4,99.3,94.2,93.4,100
24,Minnesota ,95.3,102,80.3,98,98.3,104.9,102
25,Wyoming ,95.4,100.6,90.1,92,95,100.5,97.9
26,Illinois ,95.5,98.3,84.2,99.4,107.7,100.6,98.2
27,North Carolina ,97.6,98.9,95.6,95.4,91.7,104.3,100.1
28,Maryland ,98.9,102.4,82.2,113.1,103,92.2,107.3
29,Wisconsin ,99.3,98.1,98.5,86.4,101.7,105.4,102.3
30,Nevada ,100.1,103.4,106.8,96.6,115.1,84.1,91.3
31,Delaware ,100.2,102.1,96.5,97.3,103,101.5,102.2
32,Virginia ,100.5,99.2,103.8,98.9,96.3,106.3,99.2
33,Idaho ,102,101.9,99.1,77.7,109.2,101.4,108.7
34,Florida ,102.4,106.7,107.7,98.6,98.4,95.3,99.4
35,Puerto Rico ,102.5,110,102.4,148.1,93.8,71,94.4
36,Colorado ,102.7,100.7,107.6,88.6,100.8,103.5,103.7
37,Utah ,109.5,98.6,129.7,101.7,113.4,89.8,100.9
38,Oregon ,110,103,131.7,90.9,113.3,112,98.4
39,New Hampshire ,111.5,100.3,116.2,121.3,104.1,110.3,112.5
40,Connecticut ,111.7,102.5,117.2,135.2,105.5,112.3,107
41,Rhode Island ,112.4,102.7,114.4,141.2,96.7,107.1,113.2
42,Arizona ,112.8,101.7,136,108.3,102,89.7,106.2
43,Maine ,113.5,101.4,135.8,111,107.7,112.9,102.6
44,Washington ,113.6,103.5,126.7,94.4,119.9,116.4,109.7
45,Vermont ,114.1,106.4,133.1,110.7,95.4,113.3,108.5
46,New Jersey ,114.8,103.6,138.2,100.7,106.4,106.7,107.6
47,New York ,123.4,103.8,170.2,97.5,108.3,111.6,105.9
48,Alaska ,123.4,125.1,117.8,157.4,115.7,146.4,117.6
49,District of Columbia ,138.1,104.7,213,100.5,108.4,114.8,112.5
50,California ,144.7,112.4,209.1,137.7,130.2,106.5,116.8
51,Massachusetts ,146.9,104.5,226,146.1,109.5,130.1,113.6
52,Hawaii ,184.6,135.9,302.6,210,133.7,123.7,124.9
**,U.S.,100,100,100,100,100,100,100
